RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,52372,Cameron Champ,0.879,42.215,48
2,1,46046,Scottie Scheffler,0.816,50.604,62
3,-1,47663,Kevin Dougherty,0.753,36.900,49
4,0,28237,Rory McIlroy,0.730,45.271,62
5,0,37378,Min Woo Lee,0.716,39.379,55
6,0,39546,Keith Mitchell,0.633,47.439,75
7,1,54576,Patrick Fishburn,0.630,30.872,49
8,-1,27064,Jhonattan Vegas,0.612,34.865,57
9,0,51696,Rico Hoey,0.586,36.911,63
10,0,48081,Xander Schauffele,0.568,36.935,65
11,0,52955,Ludvig Åberg,0.539,33.932,63
11,4,38991,Alejandro Tosti,0.539,32.326,60
13,-1,46717,Viktor Hovland,0.507,26.358,52
14,0,34046,Jordan Spieth,0.500,31.483,63
15,-2,45242,Kevin Yu,0.497,29.303,59
16,0,50525,Collin Morikawa,0.435,28.251,65
17,1,48117,Kurt Kitayama,0.428,28.241,66
18,-1,51766,Wyndham Clark,0.420,26.029,62
19,0,39997,Corey Conners,0.411,32.082,78
20,0,51634,Sahith Theegala,0.406,32.866,81
21,0,33948,Byeong Hun An,0.404,26.650,66
22,5,46442,Maverick McNealy,0.387,29.052,75
23,13,34255,Joseph Bramlett,0.379,26.179,69
24,-2,57366,Cameron Young,0.375,27.002,72
25,5,52375,Doug Ghim,0.373,26.849,72
26,7,55893,Sam Stevens,0.369,26.971,73
27,-3,52513,Carson Young,0.361,24.188,67
28,-5,40026,Daniel Berger,0.360,20.535,57
29,-3,32839,Hideki Matsuyama,0.349,20.924,60
30,-3,46340,Alex Smalley,0.342,19.861,58
31,-6,50484,Hayden Springer,0.335,17.754,53
32,-1,39971,Sungjae Im,0.327,24.546,75
33,2,24502,Adam Scott,0.322,19.943,62
34,2,37455,Si Woo Kim,0.314,23.248,74
35,-4,36799,Stephan Jaeger,0.309,22.547,73
36,3,46414,Aaron Rai,0.303,22.701,75
37,3,30911,Tommy Fleetwood,0.302,19.330,64
38,4,52215,Robert MacIntyre,0.289,18.179,63
39,2,57362,Austin Eckroat,0.288,21.568,75
40,3,30926,Chris Kirk,0.287,18.965,66
41,-12,40006,Erik van Rooyen,0.278,19.479,70
42,-8,34076,Joel Dahmen,0.270,17.844,66
43,2,47504,Sam Burns,0.266,17.529,66
43,12,59095,Chris Gotterup,0.266,16.522,62
45,1,45609,Tyler Duncan,0.261,14.367,55
46,8,48867,Matti Schmid,0.259,16.327,63
47,-3,47988,Nick Hardy,0.256,19.195,75
48,3,58168,Davis Thompson,0.245,18.847,77
49,-1,49960,Sepp Straka,0.243,15.821,65
50,-1,33204,Shane Lowry,0.234,14.297,61
51,-4,34587,Chan Kim,0.230,15.416,67
52,0,51070,Vincent Norrman,0.214,9.839,46
53,-3,47347,Adam Schenk,0.212,15.705,74
54,7,49947,Taylor Moore,0.210,17.047,81
55,-17,55454,Carl Yuan,0.207,10.981,53
56,0,36699,Patrick Rodgers,0.193,15.800,82
57,-4,35310,Lanto Griffin,0.191,10.479,55
58,0,56630,Akshay Bhatia,0.188,14.842,79
58,0,35450,Patrick Cantlay,0.188,10.320,55
60,-3,48319,Tom Whitney,0.185,9.045,49
61,-1,32333,Kevin Tway,0.183,7.690,42
62,0,33141,Keegan Bradley,0.174,12.319,71
63,3,51997,Andrew Novak,0.172,12.052,70
64,8,29936,Ryan Fox,0.169,10.991,65
65,-2,32791,K.H. Lee,0.163,10.265,63
66,-2,29725,Tony Finau,0.161,11.466,71
66,-2,51977,Max Greyserman,0.161,9.683,60
68,19,40250,Taylor Pendrith,0.149,10.597,71
69,-2,29420,Billy Horschel,0.146,9.774,67
70,0,34021,Bud Cauley,0.145,6.981,48
70,-1,59143,Mac Meissner,0.145,8.838,61
72,12,28420,Ryan Brehm,0.141,6.365,45
73,-3,28089,Jason Day,0.132,7.778,59
73,-2,55182,Tom Kim,0.132,9.515,72
75,-2,33653,Thomas Detry,0.120,7.801,65
76,-1,27349,Alex Noren,0.118,7.076,60
77,-1,47679,Victor Perez,0.110,6.244,57
78,-5,12716,Charley Hoffman,0.105,6.013,57
79,-12,52666,Sami Valimaki,0.099,5.266,53
80,-3,39327,Ben Silverman,0.094,6.291,67
81,-2,47483,Will Zalatoris,0.093,5.135,55
82,-2,33448,Justin Thomas,0.092,5.166,56
83,0,34099,Harris English,0.091,6.830,75
84,4,31323,Gary Woodland,0.085,5.713,67
85,-8,35461,Beau Hossler,0.082,6.149,75
86,0,27644,Brian Harman,0.071,5.432,76
87,-6,37212,Paul Barjon,0.067,2.861,43
88,-6,34563,Chesson Hadley,0.062,3.808,61
89,2,59836,Pierceson Coody,0.059,3.610,61
90,-1,31646,Emiliano Grillo,0.057,4.388,77
91,-1,51287,Ryo Hisatsune,0.056,3.521,63
92,2,27214,Kevin Streelman,0.055,3.071,56
93,-8,55708,Hayden Buckley,0.053,3.114,59
94,8,27129,Luke List,0.047,2.856,61
95,1,36801,Mark Hubbard,0.044,3.553,81
96,0,28252,Seamus Power,0.043,3.687,85
97,-5,40098,Matt Fitzpatrick,0.036,2.238,62
98,-2,48153,Matthieu Pavon,0.027,1.422,53
99,0,36871,Matt NeSmith,0.019,1.143,61
99,-4,40115,Adam Svensson,0.019,1.796,93
101,-9,33399,Adam Hadwin,0.016,1.087,68
101,5,60067,Joe Highsmith,0.016,0.907,55
103,-3,34098,Russell Henley,0.014,0.921,64
104,-3,52453,Nicolai Højgaard,0.013,0.571,45
105,0,36884,Ben Kohles,0.004,0.289,68
106,-3,30163,Henrik Norlander,0.000,-0.018,46
107,-3,47420,Jake Knapp,-0.001,-0.054,66
108,1,26596,Ryan Moore,-0.018,-1.113,63
109,-1,39324,J.J. Spaun,-0.028,-1.882,68
110,6,49771,J.T. Poston,-0.031,-2.275,74
111,-4,57900,Chandler Phillips,-0.043,-2.934,68
112,-2,25900,Lucas Glover,-0.044,-3.236,74
113,4,56149,Wilson Furr,-0.048,-2.149,45
114,-2,29908,C.T. Pan,-0.054,-2.854,53
115,6,51890,Greyson Sigg,-0.058,-3.762,65
116,-2,22405,Justin Rose,-0.065,-3.423,53
117,-4,35532,Tom Hoge,-0.066,-5.767,87
118,-3,51349,Nico Echavarria,-0.069,-4.351,63
119,-8,32757,Patton Kizzire,-0.080,-3.980,50
120,-1,32367,Jorge Campillo,-0.096,-4.029,42
121,3,54628,Lee Hodges,-0.098,-7.769,79
122,0,32366,Kevin Chappell,-0.101,-3.838,38
123,-1,45157,Cam Davis,-0.113,-8.137,72
124,-6,52514,Trace Crowe,-0.123,-6.379,52
125,1,24024,Zach Johnson,-0.126,-5.308,42
126,-1,32640,Troy Merritt,-0.130,-7.395,57
127,3,25493,Nick Taylor,-0.146,-10.492,72
128,1,59442,Parker Coody,-0.148,-7.103,48
129,-1,40162,Justin Lower,-0.151,-11.776,78
130,2,47983,Chad Ramey,-0.158,-10.094,64
131,0,29535,Brice Garnett,-0.159,-6.679,42
132,-1,27330,Josh Teater,-0.165,-6.104,37
133,-6,27139,David Skinns,-0.179,-11.276,63
134,-1,54591,Ben Griffin,-0.181,-15.174,84
135,-16,50493,Justin Suh,-0.192,-11.735,61
136,12,32102,Rickie Fowler,-0.193,-12.338,64
137,-2,32070,Rafael Campos,-0.194,-8.330,43
138,6,23108,Matt Kuchar,-0.223,-13.824,62
139,1,28775,Nate Lashley,-0.226,-12.865,57
140,-4,54421,Garrick Higgo,-0.231,-13.883,60
140,-6,50188,S.H. Kim,-0.231,-19.154,83
142,-4,45522,Christiaan Bezuidenhout,-0.233,-16.787,72
142,-4,48887,Matt Wallace,-0.233,-12.801,55
144,-4,57975,Harry Hall,-0.242,-16.212,67
145,-8,48699,Callum Tarren,-0.245,-13.501,55
146,-1,59866,Nick Dunlap,-0.246,-15.758,64
147,-1,54783,Dylan Wu,-0.256,-17.696,69
148,-6,60004,Jacob Bridgeman,-0.257,-15.181,59
149,2,39975,Michael Kim,-0.261,-15.662,60
150,-3,35506,Mackenzie Hughes,-0.277,-22.457,81
151,-9,40058,Zac Blair,-0.282,-19.483,69
152,-3,33486,Roger Sloan,-0.320,-16.972,53
153,0,47591,Eric Cole,-0.322,-28.635,89
154,-4,47993,Denny McCarthy,-0.331,-25.160,76
155,-3,37275,Sam Ryder,-0.345,-20.327,59
156,0,33968,Thorbjørn Olesen,-0.372,-14.873,40
157,-4,50497,Adrien Dumont de Chassart,-0.381,-20.941,55
158,0,30927,Brendon Todd,-0.382,-32.083,84
159,0,47995,Davis Riley,-0.389,-25.294,65
160,-3,27936,Martin Laird,-0.401,-22.055,55
161,-1,39977,Max Homa,-0.414,-26.885,65
162,-7,36326,David Lipsky,-0.415,-24.055,58
163,0,26476,Chez Reavie,-0.442,-24.288,55
164,0,46113,Ryan McCormick,-0.471,-21.652,46
165,-4,52374,Brandon Wu,-0.480,-28.793,60
166,-4,34256,Andrew Putnam,-0.490,-34.300,70
167,-2,46441,Robby Shelton,-0.571,-35.989,63
168,-2,27649,Brandt Snedeker,-0.585,-29.848,51
169,-2,34466,Peter Malnati,-0.594,-39.807,67
170,-1,51894,Vince Whaley,-0.656,-33.478,51
171,-3,48119,Ben Taylor,-0.683,-36.196,53
172,-1,29478,Kevin Kisner,-0.776,-35.681,46
173,-3,33408,Tyson Alexander,-0.783,-45.403,58
174,-2,27770,Camilo Villegas,-0.955,-41.083,43
175,-2,22371,Aaron Baddeley,-1.009,-58.539,58
176,-2,34374,Erik Barnes,-1.064,-45.770,43
177,-2,55789,Taylor Montgomery,-1.368,-60.206,44